Country,Kcal per day per capita from Wheat,Total Kcal per day per capita,Log GDP per capita,Wheat produced kg per capita  per year
Kazakhstan,737,3107,4.067498969,1412.100882
Kenya,255,2189,2.912135186,6.376701247
Kiribati,390,3022,3.241922575,0
Kuwait,822,3471,4.710944176,0.64
Kyrgyzstan,1076,2828,3.059566526,148.0658893
Lao People's Democratic Republic,15,2356,3.092032247,0
Latvia,604,3293,4.137863248,452.0019296
Lebanon,997,3181,3.95198867,27.91424743
Lesotho,374,2595,3.094788787,9.852216749
Liberia,145,2251,2.449056655,0
Libya,1222,3211,3.822829822,27.19973783
Lithuania,890,3463,4.150864856,613.9947438
Luxembourg,764,3568,5.050559344,149.2248062
Madagascar,64,2092,2.660565063,0.461275889
Malawi,71,2334,2.673528348,0.129382844
Malaysia,397,2855,4.002181081,0
Maldives,562,2722,3.855417481,0
Mali,91,2833,2.868382536,2.358326975
Malta,1000,3389,4.334548741,32.86384977
Mauritania,789,2791,3.079108157,0.810153929
Mauritius,885,3055,3.959203846,0
Mexico,242,3024,3.991208126,30.39518771
Mongolia,985,2463,3.502577922,158.3151779
Montenegro,1115,3568,3.859962092,3.220611916
Morocco,1373,3334,3.490605835,187.7163979
Mozambique,140,2267,2.708675368,0.813636549
Myanmar,46,2528,3.024210719,3.283667078
Namibia,244,2086,3.750249367,7.213706041
Nepal,348,2580,2.835068981,64.29518338
Netherlands,566,3147,4.698680732,70.50282011
New Caledonia,645,2832,4.605419087,0
New Zealand,610,3170,4.567823275,86.76937019
Nicaragua,207,2564,3.21267402,0
Niger,28,2546,2.589196856,0.18169705
Nigeria,181,2724,3.175019638,1.004914948
Norway,803,3484,4.99672481,57.64563107
Occupied Palestinian Territory,840,2032,3.3758448,4.375303841
Pakistan,904,2428,3.079939827,143.1263694
Panama,308,2644,3.922859164,0
Paraguay,236,2698,3.596476669,222.7293473
Peru,342,2624,3.785592023,7.226067871
Philippines,110,2608,3.372464806,0
Poland,879,3485,4.130334476,244.4444444
Portugal,658,3456,4.351164375,5.56708813
Republic of Korea,405,3329,4.359249208,0.902878953
Republic of Moldova,397,2837,3.296677671,224.3861135
Romania,973,3363,3.922891763,327.0209547
Russian Federation,1018,3358,4.121879791,392.0857792
Rwanda,104,2148,2.756001958,8.165829146
Saint Kitts and Nevis,429,2507,4.151823044,0
Saint Lucia,640,2629,3.859160735,0
Saint Vincent and the Grenadines,510,2960,3.791749209,0
Samoa,408,2872,3.551748781,0
Sao Tome and Principe,375,2676,3.153122411,0
Saudi Arabia,758,3122,4.382308474,42.64822419
Senegal,261,2426,3.031710466,0
Serbia,780,2724,3.779112163,216.3175992
Sierra Leone,97,2333,2.698966702,0
Slovakia,894,2902,4.246124155,301.2867647
Slovenia,786,3173,4.386885806,74.68477207
Solomon Islands,280,2473,3.208221643,0
Somalia,173,1696,2.032306421,0.100928543
South Africa,495,3007,3.888434796,38.59554563
Spain,562,3183,4.495139232,147.8479598
Sri Lanka,274,2488,3.451548893,0
Sudan (former),304,2346,3.182778141,6.704628949
Suriname,466,2727,3.915727038,0
Swaziland,372,2275,3.528182278,0.825082508
Sweden,576,3160,4.75378102,238.4379299
Switzerland,652,3487,4.920336073,69.86734049
Syrian Arab Republic,1175,3106,3.469482022,176.940011
Tajikistan,1023,2101,2.921510472,93.02623161
Thailand,83,2757,3.73862304,0.015020428
The former Yugoslav Republic of Macedonia,762,2923,3.6938101,121.6730038
Timor-Leste,77,2083,3.723313377,0
Togo,88,2366,2.755768139,0
Trinidad and Tobago,682,2889,4.246982872,0
Tunisia,1632,3362,3.631040698,149.3536687
Turkey,1311,3680,4.025504127,298.3889733
Turkmenistan,1464,2883,3.739977195,254.5525749
Uganda,85,2279,2.714323208,0.654375782
Ukraine,824,3142,3.552420559,487.3916556
United Arab Emirates,769,3215,4.591708377,0
United Kingdom,750,3414,4.596001538,243.4420475
United Republic of Tanzania,116,2167,2.724173133,2.437708985
United States of America,590,3639,4.693088841,172.7879535
Uruguay,815,2939,4.137478033,595.9207804
Uzbekistan,1329,2675,3.209063845,231.8485365
Vanuatu,343,2820,3.493064143,0
Venezuela,407,2880,4.030518059,0
Viet Nam,66,2703,3.178238576,0
Yemen,912,2185,3.129597061,9.955372468
Zambia,88,1937,3.148775758,17.38301306
Zimbabwe,231,2210,2.821934271,1.721685755
